15.0,1.0,87,Roger Voss,Portugal
12.0,14.0,87,Matt Kettmann,US
10.0,27.0,87,Kerin O’Keefe,Italy
17.0,40.0,86,,Italy
15.0,53.0,85,Roger Voss,France
15.0,66.0,86,Roger Voss,France
55.0,92.0,88,Virginie Boone,US
14.0,105.0,87,Kerin O’Keefe,Italy
80.0,118.0,87,Kerin O’Keefe,Italy
20.0,131.0,91,,France
85.0,144.0,91,Virginie Boone,US
26.0,157.0,91,Roger Voss,Portugal
30.0,170.0,91,Anna Lee C. Iijima,Germany
12.0,183.0,88,Michael Schachner,Argentina
18.0,196.0,87,,Italy
16.0,209.0,90,Joe Czerwinski,France
49.0,235.0,85,,US
45.0,248.0,85,Paul Gregutt,US
37.0,261.0,89,Michael Schachner,Argentina
13.0,274.0,89,,Italy
40.0,287.0,92,Michael Schachner,Spain
28.0,300.0,87,,US
15.0,326.0,86,,Italy
13.0,339.0,82,Michael Schachner,Spain
68.0,352.0,96,Virginie Boone,US
60.0,365.0,95,Joe Czerwinski,Australia
18.0,378.0,88,,Mexico
14.0,391.0,88,Michael Schachner,Chile
45.0,404.0,85,,US
30.0,430.0,89,Matt Kettmann,US
32.0,443.0,88,Virginie Boone,US
23.0,456.0,92,Virginie Boone,US
27.0,469.0,92,Anna Lee C. Iijima,Germany
60.0,482.0,87,,US
18.0,495.0,87,Virginie Boone,US
28.0,508.0,87,Paul Gregutt,US
35.0,521.0,91,Matt Kettmann,US
38.0,534.0,91,Matt Kettmann,US
150.0,547.0,93,Matt Kettmann,US
45.0,560.0,93,Virginie Boone,US
14.0,573.0,89,Roger Voss,France
18.0,586.0,89,Anne Krebiehl MW,Austria
20.0,599.0,87,,US
40.0,612.0,87,,US
15.0,625.0,87,,Italy
36.0,638.0,92,Anne Krebiehl MW,France
39.0,651.0,92,Anne Krebiehl MW,France
35.0,664.0,90,Kerin O’Keefe,Italy
50.0,677.0,90,Kerin O’Keefe,Italy
35.0,690.0,91,Anne Krebiehl MW,Austria
30.0,716.0,91,Joe Czerwinski,New Zealand
10.0,729.0,85,Roger Voss,Portugal
20.0,742.0,85,Roger Voss,France
18.0,755.0,87,,US
11.0,768.0,87,Joe Czerwinski,Australia
85.0,781.0,92,,Italy
22.0,794.0,90,Matt Kettmann,US
66.0,807.0,90,Joe Czerwinski,Australia
12.0,820.0,86,Michael Schachner,Spain
30.0,833.0,86,Kerin O’Keefe,Italy
24.0,846.0,90,Anne Krebiehl MW,France
150.0,859.0,90,Virginie Boone,US
18.0,872.0,90,Paul Gregutt,US
27.0,885.0,90,,US
20.0,1301.0,89,Roger Voss,France
40.0,1314.0,89,Kerin O’Keefe,Italy
25.0,1327.0,90,Joe Czerwinski,New Zealand
30.0,1340.0,90,Roger Voss,France
14.0,1353.0,86,Roger Voss,France
9.0,1366.0,87,Michael Schachner,Chile
24.0,1379.0,86,Joe Czerwinski,France
48.0,1392.0,88,Matt Kettmann,US
22.0,1405.0,88,Virginie Boone,US
45.0,1418.0,93,Paul Gregutt,US
30.0,1431.0,92,Paul Gregutt,US
120.0,1444.0,94,Virginie Boone,US
56.0,1457.0,94,Anna Lee C. Iijima,Germany
100.0,1470.0,93,Matt Kettmann,US
19.0,1483.0,85,Roger Voss,France
10.0,1496.0,85,Michael Schachner,Argentina
92.0,1509.0,92,Michael Schachner,Chile
42.0,1522.0,92,,Italy
20.0,1535.0,85,Roger Voss,France
8.0,1548.0,85,Michael Schachner,Chile
102.0,1561.0,98,,Italy
125.0,1574.0,96,,US
35.0,1587.0,88,Virginie Boone,US
10.0,1600.0,88,Jim Gordon,US
15.0,1613.0,87,Roger Voss,France
12.0,1626.0,85,Michael Schachner,Argentina
10.0,1639.0,85,Roger Voss,Portugal
18.0,1652.0,85,Paul Gregutt,US
12.0,1665.0,85,Michael Schachner,Argentina
30.0,1678.0,90,,US
63.0,1691.0,90,Joe Czerwinski,France
35.0,1704.0,86,Lauren Buzzeo,Israel
11.0,1717.0,85,Roger Voss,Portugal
35.0,1730.0,92,Sean P. Sullivan,US
45.0,1743.0,92,Kerin O’Keefe,Italy
29.0,1756.0,84,Sean P. Sullivan,US
15.0,1769.0,84,Michael Schachner,Chile
33.0,1782.0,91,Michael Schachner,Spain
40.0,1795.0,91,,US
15.0,1808.0,85,Matt Kettmann,US
13.0,1821.0,85,Roger Voss,Portugal
23.0,1834.0,84,Jim Gordon,US
12.0,1847.0,83,Michael Schachner,Spain
180.0,1860.0,94,Roger Voss,France
36.0,1873.0,93,Paul Gregutt,US
50.0,1886.0,93,Joe Czerwinski,Australia
10.0,1899.0,89,Michael Schachner,Argentina
32.0,1912.0,87,Roger Voss,Austria
50.0,1925.0,87,Kerin O’Keefe,Italy
19.0,1938.0,87,Michael Schachner,Chile
15.0,1951.0,86,Roger Voss,France
15.0,1964.0,88,Roger Voss,France
15.0,1977.0,88,,Italy
25.0,1990.0,85,Roger Voss,France
8.0,2003.0,84,Roger Voss,France
17.0,2016.0,84,Roger Voss,France
15.0,2029.0,87,Kerin O’Keefe,Italy
25.0,2042.0,92,,US
48.0,2055.0,92,,Italy
36.0,2068.0,90,Paul Gregutt,US
35.0,2081.0,90,,US
17.0,2094.0,87,Roger Voss,Portugal
24.0,2107.0,87,,US
20.0,2120.0,88,Anna Lee C. Iijima,US
10.0,2133.0,88,,Italy
28.0,2146.0,84,Paul Gregutt,US
15.0,2159.0,84,Kerin O’Keefe,Italy
35.0,2172.0,90,Sean P. Sullivan,US
16.0,2185.0,89,Susan Kostrzewa,Greece
50.0,2198.0,88,Kerin O’Keefe,Italy
27.0,2601.0,90,,US
11.0,2614.0,90,Paul Gregutt,US
13.0,2627.0,82,,US
22.0,2640.0,90,Joe Czerwinski,Australia
18.0,2653.0,89,Roger Voss,Portugal
26.0,2666.0,90,Kerin O’Keefe,Italy
18.0,2692.0,87,,Mexico
8.0,2705.0,87,Michael Schachner,Chile
20.0,2718.0,87,Michael Schachner,Chile
12.0,2731.0,86,Jim Gordon,US
20.0,2744.0,86,Roger Voss,France
20.0,2757.0,84,Jim Gordon,US
26.0,2770.0,84,Matt Kettmann,US
22.0,2783.0,84,,US
50.0,2809.0,87,Kerin O’Keefe,Italy
30.0,2835.0,88,Kerin O’Keefe,Italy
24.0,2848.0,88,Sean P. Sullivan,US
10.0,2861.0,88,Sean P. Sullivan,US
50.0,2874.0,91,,US
55.0,2887.0,91,Virginie Boone,US
40.0,2900.0,86,Matt Kettmann,US
15.0,2913.0,86,Michael Schachner,Spain
13.0,2926.0,84,Roger Voss,France
23.0,2939.0,84,,US
12.0,2952.0,86,,US
16.0,2965.0,85,Joe Czerwinski,Australia
48.0,2991.0,91,Virginie Boone,US
30.0,3004.0,91,Kerin O’Keefe,Italy
13.0,3017.0,92,Roger Voss,Austria
75.0,3030.0,92,,US
14.0,3043.0,88,Sean P. Sullivan,US
15.0,3056.0,88,Michael Schachner,Argentina
205.0,3069.0,94,Roger Voss,France
50.0,3095.0,88,,Italy
18.0,3121.0,84,Kerin O’Keefe,Italy
22.0,3147.0,89,Paul Gregutt,US
20.0,3173.0,86,Paul Gregutt,US
42.0,3186.0,90,Virginie Boone,US
25.0,3199.0,90,Anne Krebiehl MW,Austria
32.0,3212.0,88,Paul Gregutt,US
35.0,3225.0,88,,US
19.0,3238.0,88,,US
18.0,3277.0,87,Joe Czerwinski,Australia
18.0,3290.0,87,,Italy
19.0,3303.0,87,,Italy
25.0,3316.0,87,Paul Gregutt,US
9.0,3329.0,87,Michael Schachner,Spain
29.0,3342.0,84,Roger Voss,France
18.0,3355.0,84,Anna Lee C. Iijima,US
41.0,3368.0,92,Paul Gregutt,US
33.0,3381.0,92,Anna Lee C. Iijima,Germany
20.0,3394.0,84,Virginie Boone,US
12.0,3407.0,84,Roger Voss,Portugal
15.0,3420.0,86,Roger Voss,Portugal
50.0,3433.0,88,Paul Gregutt,US
30.0,3446.0,88,Paul Gregutt,US
21.0,3459.0,88,Joe Czerwinski,Australia
15.0,3472.0,88,Joe Czerwinski,France
40.0,3485.0,87,Paul Gregutt,US
65.0,3498.0,87,,Italy
22.0,3901.0,87,Virginie Boone,US
30.0,3914.0,87,Kerin O’Keefe,Italy
25.0,3940.0,83,Michael Schachner,Argentina
10.0,3953.0,83,Michael Schachner,Spain
24.0,3966.0,90,,US
16.0,3979.0,85,Joe Czerwinski,New Zealand
32.0,3992.0,85,,US
18.0,4005.0,88,Roger Voss,France
30.0,4018.0,88,Kerin O’Keefe,Italy
20.0,4031.0,88,Matt Kettmann,US
34.0,4044.0,88,Sean P. Sullivan,US
25.0,4057.0,90,Virginie Boone,US
40.0,4070.0,90,Kerin O’Keefe,Italy
50.0,4083.0,90,Matt Kettmann,US
26.0,4096.0,86,Virginie Boone,US
20.0,4109.0,86,Michael Schachner,Chile
60.0,4122.0,90,Roger Voss,France
65.0,4135.0,90,Roger Voss,France
60.0,4148.0,92,Matt Kettmann,US
39.0,4161.0,92,Jim Gordon,US
42.0,4174.0,87,Virginie Boone,US
14.0,4187.0,87,Matt Kettmann,US
17.0,4200.0,87,Virginie Boone,US
15.0,4213.0,87,Roger Voss,Portugal
19.0,4226.0,87,Matt Kettmann,US
36.0,4239.0,88,Roger Voss,France
13.0,4252.0,88,Michael Schachner,Spain
15.0,4265.0,85,Roger Voss,France
20.0,4278.0,85,Roger Voss,France
24.0,4291.0,89,,US
42.0,4330.0,88,,Italy
23.0,4343.0,90,Virginie Boone,US
20.0,4356.0,90,Roger Voss,France
16.0,4369.0,91,Michael Schachner,Argentina
69.0,4382.0,91,Roger Voss,France
35.0,4395.0,88,Sean P. Sullivan,US
32.0,4408.0,88,Virginie Boone,US
55.0,4421.0,89,Matt Kettmann,US
45.0,4434.0,89,Roger Voss,France
10.0,4447.0,85,Michael Schachner,Spain
8.0,4460.0,85,Michael Schachner,Spain
49.0,4473.0,91,Jim Gordon,US
32.0,4486.0,91,Matt Kettmann,US
88.0,4512.0,96,Matt Kettmann,US
50.0,4525.0,95,Matt Kettmann,US
12.0,4538.0,82,,US
14.0,4551.0,81,Virginie Boone,US
29.0,4564.0,85,Matt Kettmann,US
18.0,4577.0,85,Roger Voss,France
18.0,4590.0,87,,US
115.0,4603.0,87,,US
8.0,4616.0,87,Michael Schachner,Chile
62.0,4629.0,94,Virginie Boone,US
50.0,4642.0,94,Roger Voss,Portugal
30.0,4668.0,89,Paul Gregutt,US
18.0,4681.0,91,Virginie Boone,US
19.0,4694.0,91,Virginie Boone,US
16.0,4707.0,87,Anna Lee C. Iijima,Germany
14.0,4720.0,87,Roger Voss,Portugal
60.0,4733.0,90,,US
25.0,4746.0,90,,US
15.0,4759.0,88,Paul Gregutt,US
23.0,4772.0,90,Paul Gregutt,US
90.0,4785.0,90,Kerin O’Keefe,Italy
16.0,4798.0,85,,Italy
45.0,5201.0,90,,US
25.0,5214.0,92,Anna Lee C. Iijima,Germany
65.0,5227.0,92,Virginie Boone,US
57.0,5240.0,91,Joe Czerwinski,France
38.0,5253.0,91,Paul Gregutt,Canada
20.0,5266.0,88,,US
27.0,5279.0,88,Anna Lee C. Iijima,US
42.0,5292.0,88,,US
20.0,5305.0,88,Joe Czerwinski,Australia
18.0,5318.0,87,,US
24.0,5344.0,87,,Italy
24.0,5357.0,89,Anne Krebiehl MW,Austria
17.0,5370.0,89,Kerin O’Keefe,Italy
45.0,5383.0,85,,US
20.0,5396.0,85,Roger Voss,Portugal
30.0,5409.0,88,Michael Schachner,Argentina
43.0,5422.0,88,Paul Gregutt,US
50.0,5435.0,88,Virginie Boone,US
60.0,5448.0,88,,Italy
10.0,5461.0,86,,Italy
18.0,5487.0,86,Roger Voss,France
125.0,5500.0,93,,US
35.0,5513.0,93,Anne Krebiehl MW,Austria
20.0,5526.0,82,Michael Schachner,Spain
13.0,5539.0,82,Matt Kettmann,US
18.0,5552.0,90,Roger Voss,France
20.0,5565.0,90,,Italy
60.0,5578.0,87,,US
18.0,5591.0,86,,Italy
25.0,5604.0,88,,Italy
26.0,5617.0,88,,Italy
27.0,5630.0,90,,US
24.0,5656.0,90,Matt Kettmann,US
37.0,5669.0,90,Jim Gordon,US
18.0,5682.0,88,Roger Voss,Austria
65.0,5695.0,91,Kerin O’Keefe,Italy
30.0,5708.0,91,Anne Krebiehl MW,Austria
19.0,5721.0,90,Kerin O’Keefe,Italy
30.0,5734.0,90,Roger Voss,France
12.0,5747.0,90,Jim Gordon,US
28.0,5760.0,92,Matt Kettmann,US
50.0,5773.0,92,Jim Gordon,US
13.0,5786.0,83,Michael Schachner,Argentina
